,"CC Hard, k=4"
TCGA-2F-A9KO,4
TCGA-2F-A9KP,3
TCGA-2F-A9KQ,3
TCGA-2F-A9KR,3
TCGA-2F-A9KT,3
TCGA-2F-A9KW,2
TCGA-4Z-AA7M,3
TCGA-4Z-AA7N,4
TCGA-4Z-AA7O,3
TCGA-4Z-AA7Q,2
TCGA-4Z-AA7R,2
TCGA-4Z-AA7S,3
TCGA-4Z-AA7W,1
TCGA-4Z-AA7Y,2
TCGA-4Z-AA80,2
TCGA-4Z-AA81,2
TCGA-4Z-AA82,2
TCGA-4Z-AA83,3
TCGA-4Z-AA84,2
TCGA-4Z-AA86,2
TCGA-4Z-AA87,3
TCGA-4Z-AA89,3
TCGA-5N-A9KI,1
TCGA-5N-A9KM,4
TCGA-BL-A0C8,4
TCGA-BL-A13I,4
TCGA-BL-A13J,4
TCGA-BL-A3JM,2
TCGA-BL-A5ZZ,4
TCGA-BT-A0S7,2
TCGA-BT-A0YX,2
TCGA-BT-A20J,2
TCGA-BT-A20N,4
TCGA-BT-A20O,4
TCGA-BT-A20P,3
TCGA-BT-A20Q,4
TCGA-BT-A20R,4
TCGA-BT-A20T,3
TCGA-BT-A20U,2
TCGA-BT-A20V,2
TCGA-BT-A20W,4
TCGA-BT-A20X,2
TCGA-BT-A2LA,2
TCGA-BT-A2LB,4
TCGA-BT-A2LD,2
TCGA-BT-A3PH,2
TCGA-BT-A3PJ,2
TCGA-BT-A3PK,2
TCGA-BT-A42C,3
TCGA-BT-A42E,2
TCGA-C4-A0EZ,2
TCGA-C4-A0F0,2
TCGA-C4-A0F1,2
TCGA-C4-A0F6,4
TCGA-C4-A0F7,2
TCGA-CF-A1HR,3
TCGA-CF-A1HS,2
TCGA-CF-A27C,3
TCGA-CF-A3MF,3
TCGA-CF-A3MG,3
TCGA-CF-A3MH,3
TCGA-CF-A3MI,3
TCGA-CF-A47S,3
TCGA-CF-A47T,3
TCGA-CF-A47V,3
TCGA-CF-A47W,3
TCGA-CF-A47X,3
TCGA-CF-A47Y,3
TCGA-CF-A5U8,3
TCGA-CF-A5UA,3
TCGA-CF-A7I0,3
TCGA-CF-A8HX,3
TCGA-CF-A8HY,3
TCGA-CF-A9FF,3
TCGA-CF-A9FH,3
TCGA-CF-A9FL,3
TCGA-CF-A9FM,3
TCGA-CU-A0YO,4
TCGA-CU-A0YR,4
TCGA-CU-A3KJ,2
TCGA-CU-A3QU,3
TCGA-CU-A3YL,3
TCGA-CU-A5W6,3
TCGA-CU-A72E,2
TCGA-DK-A1A3,4
TCGA-DK-A1A5,2
TCGA-DK-A1A6,2
TCGA-DK-A1A7,3
TCGA-DK-A1AA,4
TCGA-DK-A1AB,4
TCGA-DK-A1AC,2
TCGA-DK-A1AD,3
TCGA-DK-A1AE,2
TCGA-DK-A1AF,4
TCGA-DK-A2HX,4
TCGA-DK-A2I1,3
TCGA-DK-A2I2,2
TCGA-DK-A2I4,4
TCGA-DK-A2I6,2
TCGA-DK-A3IK,3
