,"CC Hard, k=4"
TCGA-04-1331,3
TCGA-04-1332,3
TCGA-04-1343,4
TCGA-04-1347,2
TCGA-04-1348,2
TCGA-04-1356,2
TCGA-04-1357,1
TCGA-04-1361,1
TCGA-04-1362,2
TCGA-04-1542,2
TCGA-04-1648,4
TCGA-04-1651,4
TCGA-04-1655,2
TCGA-09-0366,1
TCGA-09-0369,3
TCGA-09-1670,2
TCGA-09-1673,2
TCGA-09-1674,3
TCGA-09-2044,4
TCGA-09-2045,2
TCGA-09-2051,4
TCGA-09-2053,2
TCGA-09-2056,4
TCGA-10-0926,2
TCGA-10-0927,2
TCGA-10-0931,4
TCGA-10-0933,2
TCGA-10-0934,2
TCGA-13-0724,2
TCGA-13-0726,4
TCGA-13-0760,2
TCGA-13-0765,2
TCGA-13-0768,1
TCGA-13-0795,1
TCGA-13-0800,2
TCGA-13-0804,2
TCGA-13-0883,2
TCGA-13-0884,4
TCGA-13-0886,1
TCGA-13-0887,4
TCGA-13-0888,3
TCGA-13-0890,4
TCGA-13-0891,2
TCGA-13-0893,2
TCGA-13-0897,2
TCGA-13-0899,2
TCGA-13-0905,2
TCGA-13-0911,2
TCGA-13-0913,2
TCGA-13-0916,2
TCGA-13-0920,3
TCGA-13-0923,4
TCGA-13-0924,1
TCGA-13-1403,2
TCGA-13-1404,2
TCGA-13-1405,1
TCGA-13-1411,1
TCGA-13-1477,3
TCGA-13-1481,3
TCGA-13-1482,2
TCGA-13-1483,3
TCGA-13-1487,2
TCGA-13-1488,4
TCGA-13-1489,2
TCGA-13-1492,4
TCGA-13-1495,2
TCGA-13-1496,2
TCGA-13-1497,4
TCGA-13-1498,4
TCGA-13-1499,1
TCGA-13-1501,2
TCGA-13-1505,3
TCGA-13-1506,2
TCGA-13-1507,4
TCGA-13-1509,4
TCGA-13-1510,4
TCGA-13-1511,2
TCGA-13-1512,2
TCGA-13-2060,2
TCGA-13-A5FT,2
TCGA-20-0987,1
TCGA-20-0991,1
TCGA-20-1682,1
TCGA-20-1683,2
TCGA-20-1684,2
TCGA-20-1685,2
TCGA-20-1686,2
TCGA-20-1687,1
TCGA-23-1021,2
TCGA-23-1022,2
TCGA-23-1027,1
TCGA-23-1029,2
TCGA-23-1030,2
TCGA-23-1032,2
TCGA-23-1110,2
TCGA-23-1111,2
TCGA-23-1113,2
TCGA-23-1114,3
TCGA-23-1116,1
TCGA-23-1118,2
TCGA-23-1122,3
TCGA-23-1123,4
TCGA-23-1809,2
TCGA-23-2077,2
TCGA-23-2081,3
TCGA-23-2084,3
TCGA-24-0966,2
TCGA-24-0970,2
TCGA-24-0982,2
TCGA-24-1103,3
TCGA-24-1104,1
TCGA-24-1413,2
TCGA-24-1416,2
TCGA-24-1417,1
TCGA-24-1418,2
TCGA-24-1419,2
TCGA-24-1422,1
TCGA-24-1423,3
TCGA-24-1424,2
TCGA-24-1425,1
TCGA-24-1426,2
TCGA-24-1427,3
TCGA-24-1430,2
TCGA-24-1431,2
TCGA-24-1434,1
TCGA-24-1435,1
TCGA-24-1436,2
TCGA-24-1463,3
TCGA-24-1464,2
TCGA-24-1467,2
TCGA-24-1469,3
TCGA-24-1470,1
TCGA-24-1471,2
TCGA-24-1474,2
TCGA-24-1550,1
TCGA-24-1551,1
TCGA-24-1552,2
TCGA-24-1562,2
TCGA-24-1564,1
TCGA-24-1565,4
TCGA-24-1603,2
TCGA-24-1616,2
TCGA-24-1842,1
TCGA-24-1843,1
TCGA-24-1844,4
TCGA-24-1845,4
TCGA-24-1846,1
TCGA-24-1847,1
TCGA-24-1849,1
TCGA-24-1850,3
TCGA-24-2019,2
TCGA-24-2024,3
TCGA-24-2033,2
TCGA-24-2035,1
TCGA-24-2036,2
TCGA-24-2038,3
TCGA-24-2254,2
TCGA-24-2261,1
TCGA-24-2262,2
TCGA-24-2267,1
TCGA-24-2271,1
TCGA-24-2280,3
TCGA-24-2281,1
TCGA-24-2288,3
TCGA-24-2289,3
TCGA-24-2290,2
TCGA-24-2293,1
TCGA-24-2298,3
TCGA-25-1312,2
TCGA-25-1313,1
TCGA-25-1314,3
TCGA-25-1319,4
TCGA-25-1320,2
TCGA-25-1323,2
TCGA-25-1326,3
TCGA-25-1328,3
TCGA-25-1329,3
TCGA-25-2042,3
TCGA-25-2391,2
TCGA-25-2392,1
TCGA-25-2393,2
TCGA-25-2396,2
TCGA-25-2397,2
TCGA-25-2398,3
TCGA-25-2399,2
TCGA-25-2400,3
TCGA-25-2401,1
TCGA-25-2404,2
TCGA-25-2409,1
TCGA-29-1688,1
TCGA-29-1691,3
TCGA-29-1693,4
TCGA-29-1694,1
TCGA-29-1695,1
TCGA-29-1696,2
TCGA-29-1697,2
TCGA-29-1698,2
TCGA-29-1699,1
TCGA-29-1701,2
TCGA-29-1702,2
TCGA-29-1703,2
TCGA-29-1705,1
TCGA-29-1707,1
TCGA-29-1710,1
TCGA-29-1711,1
TCGA-29-1761,4
TCGA-29-1762,4
TCGA-29-1763,3
TCGA-29-1766,2
TCGA-29-1768,1
TCGA-29-1769,4
TCGA-29-1770,1
TCGA-29-1774,2
TCGA-29-1776,2
TCGA-29-1777,4
TCGA-29-1778,2
TCGA-29-1781,1
TCGA-29-1783,2
TCGA-29-1784,4
TCGA-29-1785,1
TCGA-29-2427,1
TCGA-29-A5NZ,3
TCGA-30-1714,2
TCGA-30-1718,4
TCGA-30-1853,2
TCGA-30-1855,1
TCGA-30-1857,1
TCGA-30-1862,2
TCGA-30-1891,2
TCGA-31-1950,1
TCGA-31-1953,1
TCGA-31-1959,1
TCGA-3P-A9WA,3
TCGA-57-1993,2
TCGA-57-1994,2
TCGA-59-2348,3
TCGA-59-2350,2
TCGA-59-2351,1
TCGA-59-2352,3
TCGA-59-2354,1
TCGA-59-2355,2
TCGA-59-2363,2
TCGA-59-A5PD,3
TCGA-5X-AA5U,2
TCGA-61-1725,2
TCGA-61-1728,2
TCGA-61-1733,2
TCGA-61-1736,2
TCGA-61-1737,3
TCGA-61-1738,2
TCGA-61-1740,3
TCGA-61-1741,2
TCGA-61-1900,3
TCGA-61-1907,4
TCGA-61-1910,3
TCGA-61-1911,1
TCGA-61-1914,4
TCGA-61-1919,1
TCGA-61-1995,2
TCGA-61-2000,1
TCGA-61-2002,1
TCGA-61-2003,1
TCGA-61-2008,3
TCGA-61-2009,1
TCGA-61-2012,3
TCGA-61-2016,2
TCGA-61-2088,2
TCGA-61-2092,2
TCGA-61-2094,1
TCGA-61-2101,2
TCGA-61-2102,3
TCGA-61-2104,1
TCGA-61-2109,3
TCGA-61-2110,2
TCGA-61-2111,3
TCGA-OY-A56P,2
TCGA-OY-A56Q,2
TCGA-VG-A8LO,2
TCGA-WR-A838,2
